Fam_ID,Membership,ID,TGLA227_1,TGLA227_2,BM2113_1,BM2113_2,TGLA53_1,TGLA53_2,ETH10_1,ETH10_2,SPS115_1,SPS115_2,TGLA126_1,TGLA126_2,TGLA122_1,TGLA122_2,INRA23_1,INRA23_2,ETH3_1,ETH3_2,ETH225_1,ETH225_2,BM1824_1,BM1824_2
Fam_389,C,Fam_389_C,81.73,99.14,130.55,132.50,156.09,166.18,216.72,216.72,243.67,243.67,116.62,118.76,142.21,147.11,204.26,211.76,114.61,125.22,144.74,148.95,183.05,189.27
Fam_389,M,Fam_389_M,81.72,99.14,130.42,136.41,152.22,166.18,216.84,216.84,243.69,243.69,116.52,118.65,142.25,147.21,204.26,211.87,114.52,125.22,144.81,144.81,189.38,189.38
Fam_390,F,Fam_390_F,88.18,99.16,122.57,124.48,166.20,166.20,210.76,214.45,243.35,254.95,116.57,122.97,162.34,164.48,200.39,204.16,114.09,124.69,145.29,145.29,179.21,189.54
Fam_390,C,Fam_390_C,90.10,98.91,122.27,122.27,159.76,165.80,214.54,214.54,249.11,254.93,116.48,122.85,162.25,185.36,200.23,204.00,113.96,126.71,145.38,145.38,179.07,183.27
Fam_390,M,Fam_390_M,90.01,94.50,122.25,122.25,151.40,159.75,206.83,214.27,243.06,248.83,116.36,116.36,153.29,185.23,200.00,203.70,114.03,126.77,134.85,145.37,183.12,183.12
Fam_391,F,Fam_391_F,88.18,99.16,122.57,124.48,166.20,166.20,210.76,214.45,243.35,254.95,116.57,122.97,162.34,164.48,200.39,204.16,114.09,124.69,145.29,145.29,179.21,189.54
Fam_391,C,Fam_391_C,87.20,98.17,121.72,121.72,159.13,165.14,210.29,215.94,242.75,254.39,120.18,122.32,163.92,172.44,199.76,199.76,113.49,124.11,142.68,144.71,178.61,188.93
Fam_391,M,Fam_391_M,98.29,104.49,121.70,121.70,159.13,173.01,215.93,215.93,242.75,254.39,118.06,120.17,172.41,184.79,199.76,211.12,113.52,113.52,142.67,146.88,178.56,188.97
Fam_392,F,Fam_392_F,93.11,99.61,125.14,136.84,162.55,166.56,215.14,220.84,244.01,244.01,116.74,118.83,142.52,162.55,200.70,211.99,114.77,125.39,144.90,147.11,179.20,179.20
Fam_392,C,Fam_392_C,93.90,98.28,123.64,135.29,159.13,165.15,214.05,219.73,242.63,242.63,116.08,122.45,141.18,150.52,207.31,211.16,111.42,113.51,134.30,144.71,178.53,188.89
Fam_392,M,Fam_392_M,93.86,98.19,123.73,123.73,159.02,182.90,215.97,219.68,242.75,246.53,118.19,122.43,146.12,150.51,205.35,207.25,111.35,113.54,134.33,144.78,180.62,188.86
Fam_393,F,Fam_393_F,88.18,99.16,122.57,124.48,166.20,166.20,210.76,214.45,243.35,254.95,116.57,122.97,162.34,164.48,200.39,204.16,114.09,124.69,145.29,145.29,179.21,189.54
Fam_393,C,Fam_393_C,75.69,97.69,121.21,132.84,156.41,164.52,213.66,213.66,242.16,253.69,117.74,121.93,140.65,161.26,199.27,210.66,123.75,123.75,144.23,144.23,178.10,188.47
Fam_393,M,Fam_393_M,75.58,97.68,123.20,132.86,156.20,156.20,213.62,219.36,242.18,246.00,115.69,117.82,140.66,140.66,210.64,210.64,113.10,123.80,142.03,144.23,178.05,180.15
Fam_394,F,Fam_394_F,77.27,90.75,123.72,132.25,158.29,160.45,213.78,213.78,242.66,242.66,118.90,118.90,142.10,164.88,198.64,211.78,114.23,114.23,143.21,143.21,178.65,180.70
