Fam_ID,Offspring_ID,Parent_ID,Parent_Type,Total_Checked,Passed,Failed,Match_%,Failed_Markers,Status
Fam_068,Fam_068_C,Fam_068_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_068,Fam_068_C,Fam_068_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_069,Fam_069_C,Fam_069_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_069,Fam_069_C,Fam_069_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_070,Fam_070_C,Fam_070_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_070,Fam_070_C,Fam_070_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_071,Fam_071_C,Fam_071_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_071,Fam_071_C,Fam_071_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_072,Fam_072_C,Fam_072_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_072,Fam_072_C,Fam_072_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_073,Fam_073_C,Fam_073_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_073,Fam_073_C,Fam_073_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_074,Fam_074_C,Fam_074_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_074,Fam_074_C,Fam_074_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_075,Fam_075_C,Fam_075_F,พ่อ (F),11,8,3,72.7%,"TGLA53, BM1824, TGLA122",❌ Mismatch (3)
Fam_075,Fam_075_C,Fam_075_M,แม่ (M),11,7,4,63.6%,"ETH225, TGLA122, INRA23, TGLA227",❌ Mismatch (4)
Fam_076,Fam_076_C,Fam_076_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_076,Fam_076_C,Fam_076_M,แม่ (M),11,7,4,63.6%,"TGLA53, ETH225, INRA23, TGLA227",❌ Mismatch (4)
Fam_077,Fam_077_C,Fam_077_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_077,Fam_077_C,Fam_077_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_078,Fam_078_C,Fam_078_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_078,Fam_078_C,Fam_078_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_079,Fam_079_C,Fam_079_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_079,Fam_079_C,Fam_079_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_080,Fam_080_C,Fam_080_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
